Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance
2021-08-21,,,1212.0,0.81464
2021-08-22,,,1525.0,0.94406
2021-08-23,,4.0,2414.0,1.57636
2021-08-24,,3.0,1961.0,1.2941799999999999
2021-08-25,,1.0,1462.0,0.96377
2021-08-26,,2.0,1064.0,0.71513
2021-08-27,,4.0,3379.0,2.34654
2021-08-28,,,1268.0,0.86936
2021-08-29,,,1077.0,0.7129800000000001
2021-08-30,,,2841.0,1.78321
2021-08-31,,2.0,2364.0,1.54639
2021-09-01,,2.0,1986.0,1.3285799999999999
2021-09-02,,3.0,1792.0,1.17442
2021-09-03,,3.0,2624.0,1.72287
2021-09-04,,2.0,4359.0,2.91723
2021-09-05,,,2096.0,1.4425999999999999
2021-09-06,,6.0,3638.0,2.39449
2021-09-07,,1.0,1899.0,1.27651
2021-09-08,,2.0,2241.0,1.4759499999999999
2021-09-09,,,2225.0,1.50799
2021-09-10,,1.0,2182.0,1.4607400000000001
2021-09-11,,1.0,2989.0,1.89504
2021-09-12,,,1984.0,1.34462
2021-09-13,,2.0,3610.0,2.41331
2021-09-14,,1.0,3406.0,2.18003
2021-09-15,,4.0,3498.0,2.2144
2021-09-16,,1.0,2261.0,1.52788
2021-09-17,,2.0,3179.0,2.06507
2021-09-18,,,1541.0,1.0303
2021-09-19,,,1620.0,1.06935
2021-09-20,,5.0,4578.0,3.10174
2021-09-21,,2.0,2543.0,1.74159
2021-09-22,,2.0,2193.0,1.39859
2021-09-23,,2.0,2243.0,1.46047
2021-09-24,,2.0,3015.0,1.9417799999999998
2021-09-25,,,1232.0,0.85453
2021-09-26,,,2030.0,1.37306
2021-09-27,,1.0,1951.0,1.26681
2021-09-28,,3.0,3605.0,2.36837
2021-09-29,,3.0,3635.0,2.34848
2021-09-30,,1.0,1948.0,1.3113000000000001
2021-10-01,,1.0,1612.0,1.04338
2021-10-02,,5.0,8547.0,5.31682
2021-10-03,,,1524.0,1.00661
2021-10-04,,2.0,2933.0,1.81874
2021-10-05,,2.0,2557.0,1.6434
2021-10-06,,6.0,2956.0,1.88882
2021-10-07,,1.0,2765.0,1.82573
2021-10-08,,5.0,11634.0,6.88652
2021-10-09,,17.0,11367.0,7.64154
2021-10-10,,15.0,9760.0,5.88602
2021-10-11,,1.0,4046.0,2.48786
