Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance,School Period
2023-11-06,192.622,5.0,6610.0,4.663657,Freshman Second Term
2023-11-07,329.622,14.0,10275.0,7.25828,Freshman Second Term
2023-11-08,140.364,7.0,3971.0,2.8839509999999997,Freshman Second Term
2023-11-09,377.914,10.0,12096.0,8.565363,Freshman Second Term
2023-11-10,295.848,12.0,9299.0,6.5728599999999995,Freshman Second Term
2023-11-11,103.854,6.0,2977.0,2.17856,Freshman Second Term
2023-11-12,203.54500000000002,6.0,6145.0,4.3407029999999995,Freshman Second Term
2023-11-13,296.167,13.0,9227.0,6.35884,Freshman Second Term
2023-11-14,295.13800000000003,11.0,9410.0,6.7324209999999995,Freshman Second Term
2023-11-15,192.19899999999998,9.0,5744.0,4.25023,Freshman Second Term
2023-11-16,279.94,9.0,8274.0,6.0987919999999995,Freshman Second Term
2023-11-17,441.032,19.0,12839.0,9.41911,Freshman Second Term
2023-11-18,107.61399999999999,5.0,4480.0,2.99498,Freshman Second Term
2023-11-19,62.973,5.0,2026.0,1.55291,Freshman Second Term
2023-11-20,83.103,3.0,2989.0,2.07083,Freshman Second Term
2023-11-21,205.736,8.0,6059.0,4.39746,Freshman Second Term
2023-11-22,221.78,7.0,7324.0,5.199495,Freshman Second Term
2023-11-23,86.007,3.0,2438.0,1.746357,Freshman Second Term
2023-11-24,334.716,12.0,10069.0,7.587093,Freshman Second Term
2023-11-25,152.115,10.0,4364.0,3.18523,Freshman Second Term
2023-11-26,0.716,,118.0,0.08943,Freshman Second Term
2023-11-27,33.585,4.0,919.0,0.67474,Freshman Second Term
2023-11-28,206.62800000000001,5.0,6307.0,4.2475602,Freshman Second Term
2023-11-29,171.396,5.0,5508.0,4.10674,Freshman Second Term
2023-11-30,114.616,3.0,3898.0,2.8804119999999998,Freshman Second Term
2023-12-01,236.187,11.0,7561.0,5.4052857,Freshman Second Term
2023-12-02,168.72400000000002,9.0,5931.0,4.1907190000000005,Freshman Second Term
2023-12-03,98.728,10.0,3787.0,2.59488,Freshman Second Term
2023-12-04,234.235,11.0,7226.0,5.158089,Freshman Second Term
2023-12-05,95.48899999999999,5.0,3187.0,2.224442,Freshman Second Term
2023-12-06,136.994,5.0,4634.0,3.27494,Freshman Second Term
2023-12-07,200.076,6.0,6474.0,4.864141,Freshman Second Term
2023-12-08,278.893,11.0,8705.0,6.359805,Freshman Second Term
2023-12-09,157.65,8.0,5375.0,3.92328,Freshman Second Term
2023-12-10,124.79,7.0,4075.0,2.8688320000000003,Freshman Second Term
2023-12-11,94.242,4.0,3415.0,2.40319,Freshman Second Term
2023-12-12,108.172,9.0,3238.0,2.41809,Freshman Second Term
2023-12-13,128.181,6.0,4093.0,2.88814,Freshman Second Term
2023-12-14,142.74,6.0,5184.0,3.6154,Freshman Second Term
2023-12-15,151.517,7.0,4879.0,3.50335,Freshman Second Term
2023-12-16,9.431,,658.0,0.4525,Freshman Second Term
2023-12-17,388.587,10.0,12962.0,9.564887,Freshman Second Term
2023-12-18,70.24,4.0,2162.0,1.6116599999999999,Freshman Second Term
2023-12-19,109.386,2.0,3957.0,2.75517,Freshman Second Term
2023-12-20,134.213,8.0,4013.0,2.82821,Freshman Second Term
2023-12-21,75.099,,3102.0,2.28119,Freshman Second Term
2023-12-22,188.30700000000002,7.0,5880.0,4.28807,Freshman Second Term
2023-12-23,2.514,,333.0,0.22833,Freshman Second Term
2023-12-24,156.791,5.0,4922.0,3.494887,Freshman Second Term
2023-12-25,255.291,4.0,7686.0,5.604637,Freshman Second Term
2023-12-26,184.967,5.0,4727.0,3.474888,Freshman Second Term
2023-12-27,95.854,4.0,3364.0,2.43787,Freshman Second Term
2023-12-28,121.258,6.0,4143.0,2.8537204,Freshman Second Term
2023-12-29,205.142,11.0,6057.0,4.47202,Freshman Second Term
2023-12-30,260.154,10.0,8074.0,5.6739500000000005,Freshman Second Term
2023-12-31,19.651,,863.0,0.6276499,Freshman Second Term
2024-01-01,8.435,,498.0,0.36475,Freshman Second Term
2024-01-02,105.853,1.0,4055.0,2.9393212,Freshman Second Term
2024-01-03,358.438,12.0,11202.0,7.984386,Freshman Second Term
2024-01-04,124.665,3.0,4689.0,3.4104039999999998,Freshman Second Term
2024-01-05,363.233,15.0,11179.0,7.83028,Freshman Second Term
2024-01-06,181.603,8.0,5583.0,4.0351230000000005,Freshman Second Term
2024-01-07,125.741,5.0,4013.0,3.06089,Freshman Second Term
2024-01-08,149.06,10.0,5370.0,3.904318,Freshman Second Term
2024-01-09,115.402,6.0,3447.0,2.56981,Freshman Second Term
2024-01-10,138.652,4.0,4174.0,3.20636,Freshman Second Term
2024-02-20,191.689,11.0,5464.0,3.923489,Sophomore First Term
2024-02-21,174.587,10.0,5245.0,3.95474,Sophomore First Term
2024-02-22,221.332,7.0,7233.0,5.18941,Sophomore First Term
2024-02-23,112.524,5.0,3749.0,2.8367299999999998,Sophomore First Term
2024-02-24,202.106,6.0,6979.0,4.85187,Sophomore First Term
2024-02-25,157.251,2.0,4646.0,3.0405699999999998,Sophomore First Term
2024-02-26,47.147,1.0,1841.0,1.241341,Sophomore First Term
2024-02-27,294.536,12.0,7755.0,5.7392337,Sophomore First Term
2024-02-28,160.196,8.0,5318.0,3.653336,Sophomore First Term
2024-02-29,142.577,8.0,4783.0,3.32413,Sophomore First Term
2024-03-01,227.071,10.0,6858.0,4.980176,Sophomore First Term
2024-03-02,198.50300000000001,6.0,6130.0,4.212557,Sophomore First Term
2024-03-03,121.042,5.0,3915.0,2.84196,Sophomore First Term
2024-03-04,392.046,18.0,11848.0,8.5076118,Sophomore First Term
2024-03-05,186.031,8.0,6334.0,4.514931,Sophomore First Term
2024-03-06,166.15800000000002,8.0,5264.0,3.946126,Sophomore First Term
2024-03-07,172.965,8.0,5522.0,4.091549,Sophomore First Term
2024-03-08,179.909,11.0,5309.0,3.7004799999999998,Sophomore First Term
2024-03-09,145.036,4.0,4552.0,3.42889,Sophomore First Term
2024-03-10,190.70499999999998,8.0,6198.0,4.261375,Sophomore First Term
2024-03-11,209.786,15.0,6425.0,4.459271,Sophomore First Term
2024-03-12,204.32,9.0,6344.0,4.45375,Sophomore First Term
2024-03-13,173.335,7.0,5849.0,4.281076,Sophomore First Term
2024-03-14,192.51500000000001,7.0,6359.0,4.51898,Sophomore First Term
2024-03-15,249.383,11.0,7429.0,5.481407,Sophomore First Term
2024-03-16,215.951,9.0,6650.0,4.839638,Sophomore First Term
2024-03-17,280.813,14.0,7932.0,6.029184,Sophomore First Term
2024-03-18,368.986,13.0,11354.0,8.189109,Sophomore First Term
2024-03-19,221.436,11.0,6860.0,4.8389940000000005,Sophomore First Term
2024-03-20,291.857,11.0,8040.0,5.96633,Sophomore First Term
2024-03-21,198.357,10.0,6167.0,4.348864,Sophomore First Term
2024-03-22,336.383,14.0,10054.0,7.4696620000000005,Sophomore First Term
2024-03-23,274.256,12.0,8305.0,6.10721,Sophomore First Term
2024-03-24,179.213,6.0,7207.0,5.089688,Sophomore First Term
2024-03-25,75.427,5.0,2355.0,1.770859,Sophomore First Term
2024-03-26,169.839,14.0,4315.0,3.00924,Sophomore First Term
